Country;Year;DisasterAffected
New Caledonia;2009;0
New Caledonia;2011;0
New Caledonia;2017;4
New Caledonia;2018;0
New Caledonia;2019;1
New Caledonia;2020;2
Papua New Guinea;2005;2
Papua New Guinea;2006;216
Papua New Guinea;2007;56284
Papua New Guinea;2008;36393
Papua New Guinea;2009;580
Papua New Guinea;2010;0
Papua New Guinea;2011;0
Papua New Guinea;2012;172
Papua New Guinea;2013;264
Papua New Guinea;2014;0
Papua New Guinea;2015;0
Papua New Guinea;2019;2100
Papua New Guinea;2020;3297
Wallis and Futuna;2020;0
Niue;2012;0
Niue;2020;0
Samoa;2005;0
Samoa;2006;0
Samoa;2008;0
Samoa;2009;6332
Samoa;2012;0
Samoa;2013;0
Samoa;2014;0
Samoa;2015;0
Samoa;2016;0
Samoa;2018;383
Samoa;2019;5700
Samoa;2020;195
Samoa;2021;15
Samoa;2022;16607
Samoa;2023;138
Tuvalu;2011;0
Tuvalu;2015;0
Tuvalu;2016;1003
Tuvalu;2017;0
Tuvalu;2018;0
Tuvalu;2019;0
Tuvalu;2020;2266
Tuvalu;2021;6
Tuvalu;2022;7748
Palau;2009;0
Palau;2011;0
Palau;2012;1528
Palau;2015;0
Palau;2016;11009
Palau;2021;24220
Palau;2022;780
Marshall Islands;2006;0
Marshall Islands;2008;96
Marshall Islands;2011;0
Marshall Islands;2013;0
Marshall Islands;2014;280
Marshall Islands;2015;0
Marshall Islands;2016;27452
Marshall Islands;2017;7029
Marshall Islands;2018;0
Marshall Islands;2019;35844
Marshall Islands;2020;56718
Marshall Islands;2021;0
Marshall Islands;2022;52914
Tonga;2005;0
Tonga;2006;0
Tonga;2007;0
Tonga;2008;0
Tonga;2009;7
Tonga;2010;0
Tonga;2011;345
Tonga;2012;0
Tonga;2013;0
Tonga;2014;4520
Tonga;2015;0
Tonga;2016;0
Tonga;2017;0
Tonga;2018;84311
Tonga;2019;640
Tonga;2020;68
Cook Islands;2005;1121
Cook Islands;2007;0
Cook Islands;2009;0
Cook Islands;2010;4443
Cook Islands;2020;0
Guam;2015;0
Micronesia (Federated States of);2006;0
Micronesia (Federated States of);2008;0
Micronesia (Federated States of);2009;0
Micronesia (Federated States of);2011;0
Micronesia (Federated States of);2015;7600
Micronesia (Federated States of);2016;0
Micronesia (Federated States of);2017;0
Micronesia (Federated States of);2018;1266
Micronesia (Federated States of);2019;20732
Micronesia (Federated States of);2020;0
Micronesia (Federated States of);2021;15010
American Samoa;2009;0
American Samoa;2014;0
American Samoa;2015;0
American Samoa;2018;3800
American Samoa;2019;12
American Samoa;2020;232
Fiji;2005;0
Fiji;2006;60
Fiji;2007;12
Fiji;2008;804
Fiji;2009;12692
Fiji;2010;6644
Fiji;2011;344
Fiji;2012;37085
Fiji;2013;0
Fiji;2014;0
Fiji;2015;0
Fiji;2016;633584
Fiji;2017;0
Fiji;2018;155726
Fiji;2019;78045
Fiji;2020;235921
Fiji;2021;78030
Fiji;2022;1787
Solomon Islands;2006;0
Solomon Islands;2007;21343
Solomon Islands;2008;0
Solomon Islands;2009;68
Solomon Islands;2010;1456
Solomon Islands;2011;36
Solomon Islands;2012;216
Solomon Islands;2013;7577
Solomon Islands;2014;14831
Solomon Islands;2015;185886
Solomon Islands;2016;60858
Solomon Islands;2017;51465
Solomon Islands;2018;194155
Solomon Islands;2019;1834
Solomon Islands;2020;2339
Solomon Islands;2021;240
Solomon Islands;2022;20080
Kiribati;2008;85
Kiribati;2014;44
Kiribati;2015;2507
Kiribati;2016;0
Kiribati;2018;0
Kiribati;2019;3
Kiribati;2020;15
Kiribati;2021;333
Northern Mariana Islands;2014;0
Northern Mariana Islands;2015;0
Tokelau;2005;0
Tokelau;2009;0
Tokelau;2011;0
French Polynesia;2007;0
Vanuatu;2005;0
Vanuatu;2006;0
Vanuatu;2007;4
Vanuatu;2008;60
Vanuatu;2009;422
Vanuatu;2010;500
Vanuatu;2011;248
Vanuatu;2012;28
Vanuatu;2013;0
Vanuatu;2014;152
Vanuatu;2015;0
Vanuatu;2017;920
Vanuatu;2018;23286
Vanuatu;2019;18
Vanuatu;2020;246802
Vanuatu;2021;1400
Nauru;2019;63
Nauru;2020;1133
Nauru;2021;4
Nauru;2022;5393
