Country;Year;Economicloss
Kiribati;2014;268950
Kiribati;2020;30750
Samoa;2016;22048411
Micronesia (Federated States of);2016;20310000
Micronesia (Federated States of);2018;196875
Micronesia (Federated States of);2019;8270325
Fiji;2010;24623058
Fiji;2011;1224504
Fiji;2012;141400784
Fiji;2016;374109863
Fiji;2018;50247780
Fiji;2019;1090125
Fiji;2020;24247724
Tonga;2010;4676174
Tonga;2011;1113801
Tonga;2014;18560063
Tonga;2016;3050475
Tonga;2018;8579025
French Polynesia;2016;30220000
Palau;2012;6190257
Palau;2016;6
Vanuatu;2010;3071588
Vanuatu;2011;1470068
Vanuatu;2012;281580
Vanuatu;2014;245100
Vanuatu;2016;81.07.00
Vanuatu;2018;64500000
Papua New Guinea;2012;1077375
Papua New Guinea;2013;1713195
Papua New Guinea;2016;09.57
Papua New Guinea;2020;1593750
New Caledonia;2016;20310000
Marshall Islands;2007;04.09
Marshall Islands;2014;454125
Marshall Islands;2016;1781682
Solomon Islands;2010;5826567
Solomon Islands;2011;129938
Solomon Islands;2012;1091496
Solomon Islands;2013;12626951
